belagskategorie,belagsart,criterion_id,criterion_label,raw_value,norm_0_1,total_weight,weighted_score
Asphalt,Recyclingasphalt,co2,CO2-Emissionen,45.0,0.2142857142857143,0.18,0.038571428571428576
Asphalt,Sickerasphalt,co2,CO2-Emissionen,60.0,0.0,0.18,0.0
Asphalt,Heller Asphalt,co2,CO2-Emissionen,50.0,0.1428571428571429,0.18,0.02571428571428572
Asphalt,Selbstheilender Asphalt,co2,CO2-Emissionen,-7.5,0.9642857142857143,0.18,0.17357142857142857
Pflaster,Natursteinpflaster (6-10 mm Fugen),co2,CO2-Emissionen,-5.0,0.9285714285714286,0.18,0.16714285714285715
"Pflaster,""Betonpflastersteine (geschlossen, 2-4 mm Fugen)"",co2,CO2-Emissionen,-5.0,0.9285714285714286,0.18,0.16714285714285715"
"Pflaster,""Ökopflaster (sickerfähig, 6-10 mm Fugen)"",co2,CO2-Emissionen,-10.0,1.0,0.18,0.18"
Sickerbeläge,Chaussierung,co2,CO2-Emissionen,-2.5,0.8928571428571429,0.18,0.16071428571428573
Sickerbeläge,Kiesrasen,co2,CO2-Emissionen,-5.0,0.9285714285714286,0.18,0.16714285714285715
Sickerbeläge,Rasengittersteine,co2,CO2-Emissionen,-5.0,0.9285714285714286,0.18,0.16714285714285715
,,co2,CO2-Emissionen,,,0.18,
,,co2,CO2-Emissionen,,,0.18,
,,co2,CO2-Emissionen,,,0.18,
"Herleitung,""Quellen: Stadt Zürich 2022 - Grobökobilanz von Freiraumelementen, Schwammstadt Labor Zürich et al. 2025, KBOB v7.0, Xu 2018, Yan 2025, Wan 2023, Kappel (2016) - Angewandter Strassenbau"",co2,CO2-Emissionen,,,0.18,"
"Lebensdauer,""Die Lebensdauer der Beläge wurde in Anlehnung an die Grobökobilanz von Freiraumelementen (Stadt Zürich, 2022) sowie die KBOB-Ökobilanzdaten 2009/1:2022 (v7.0) definiert. Ergänzende Werte zu innovativen Asphalt- und Pflasterbelägen wurden aus Xu (2018) und Yan (2025) übernommen, die die erhöhte Lebensdauer temperatur- und bindemitteloptimierter Mischungen belegen. Für ungebundene und sickerfähige Beläge wurden kürzere Nutzungszeiten nach empirischen Beobachtungen des Schwammstadt Labors Zürich et al. (2025) angesetzt. "",co2,CO2-Emissionen,,,0.18,"
"Versickerungsleistung [ψ],""Abflussbeiwert: ψ = 1 → kein Wasser versickert, ψ = 0 → alles Wasser versickert, ψ = 0.6→ 60% Oberflächenabfluss, 40% Versickerung, nach SIA 190:2017 und DWA-A138 (Schweiz/Deutschland), Abgeleitet von Schwammstadt Labor Zürich et al. 2025 und Stadt Zürich 2022 - Grobökobilanz von Freiraumelementen"",co2,CO2-Emissionen,,,0.18,"
"Multifunktionalität - Oberflächentemperatur [°C] ,""Die  Oberflächentemperaturen wurden aus Simulationen und Feldmessungen der Stadt Zürich (2022) - Grobökobilanz von Freiraumelementen und Xu (2018) abgeleitet, ergänzt durch Werte aus Yan (2025) zur thermischen Reflexion heller Asphaltmischungen. Als Referenzwert galt der Oberflechentemperaturwert von Asphalt von 58.4°C"",co2,CO2-Emissionen,,,0.18,"
"Multifunktionalität - Befahrbarkeit,""sehr gut= uneingeschränkt PKW und LKW,gut = PKW, gelegentlich LKW, eingeschränkt = gelegentlich PKW und LKW, keine Dauerbelastung, nicht befahrbar = nicht für PKW und LKW, abgleitet von Stadt Zürich 2022 - Grobökobilanz von Freiraumelementen, Schwammstadt Labor Zürich et al. 202 "",co2,CO2-Emissionen,,,0.18,"
"Kosten [CHF/m²],""Angaben aus Stadt Zürich 2022 - Grobökobilanz von Freiraumelementen, verifiziert Schwammstadt Labor Zürich et al. 2025 und Kappel (2016)"",co2,CO2-Emissionen,,,0.18,"
"Unterhaltskosten [CHF/m²a],""Angaben aus Stadt Zürich 2022 - Grobökobilanz von Freiraumelementen, verifiziert Schwammstadt Labor Zürich et al. 2025 und Kappel (2016)"",co2,CO2-Emissionen,,,0.18,"
"Ökobilanz - CO₂-Emissionen [kg CO₂-eq/m²],""Treibhausgasemissionen für Herstellung (inkl. Transport, Bindemittel etc.), Kennwerte aus KBOB-Datensatz v7.0 (2024) - Oekobilanzdaten_Baubereich, Energie- und Treibhausgaswerte für CH-Mix, verifiziert mit Stadt Zürich 2022 - Grobökobilanz von Freiraumelementen"",co2,CO2-Emissionen,,,0.18,"
