group_id;group_label;group_weight;criterion_id;criterion_label;within_group_weight
langlebigkeit_wirtschaftlichkeit;Langlebigkeit und Wirtschaftlichkeit;0.4;lebensdauer;Lebensdauer MW [a];0.5
langlebigkeit_wirtschaftlichkeit;Langlebigkeit und Wirtschaftlichkeit;0.4;pflegeaufwand;Pflegeaufwand [0-3];0.25
langlebigkeit_wirtschaftlichkeit;Langlebigkeit und Wirtschaftlichkeit;0.4;groesse_baumrigolen;Grösse Baumrigolen [m³] (Initialkosten);0.25
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.4;klimaangepasst;Klimaangepasst [0-3];0.25
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.4;geeignet_stadtbaum;geeignet als Stadtbaum [0-3];0.25
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.4;kronenbreite;Kronenbreite MW [m];0.125
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.4;biodiversitaet;Biodiversitäts Index [1-5];0.125
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.4;kuehlung;Kühlung MW [°C];0.125
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.4;regenwasser;Regenwasserspeicherung MW [l/d];0.125
kreislauffaehigkeit;Kreislauffähigkeit;0.1;recyclingpotential;Recyclingpotential [0-3];1
umweltbelastung;Umweltbelastung;0.1;co2_bindung;CO2-Bindung MW [kg CO2/a];1
