belagskategorie;option;bewertungskategorie;wert;gewicht;group_id;min_wert;max_wert;score_normiert;MCA_score_kriterium
Asphalt;Sickerasphalt;unterhalt;6,50;0,075;langlebigkeit_wirtschaftlichkeit;2,0;9,0;0,3571428571428571;0,02678571428571428
Asphalt;Sickerasphalt;co2;60,00;0,180;umweltbelastung;17,5;72,5;0,2272727272727273;0,04090909090909091
Asphalt;Sickerasphalt;graueEnergie;345,00;0,120;umweltbelastung;70,0;375,0;0,0983606557377049;0,01180327868852459
Asphalt;Sickerasphalt;recyclingfaehigkeit;0,20;0,080;kreislauffaehigkeit;0,2;1,0;0,0000000000000000;0,00000000000000000
Asphalt;Sickerasphalt;lokaleMaterialien;0,65;0,060;kreislauffaehigkeit;0,4;1,0;0,4166666666666667;0,02500000000000000
Asphalt;Sickerasphalt;modulareErneuerbarkeit;1,00;0,060;kreislauffaehigkeit;1,0;5,0;0,0000000000000000;0,00000000000000000
Asphalt;Sickerasphalt;barrierefreiheit;3,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,5000000000000000;0,02500000000000000
Asphalt;Heller Asphalt;lebensdauer;17,50;0,100;langlebigkeit_wirtschaftlichkeit;15,0;50,0;0,0714285714285714;0,00714285714285714
Asphalt;Heller Asphalt;versickerung;1,00;0,075;multifunktionale_nutzungsqualitaet;0,2;1,0;1,0000000000000000;0,07500000000000000
Asphalt;Heller Asphalt;oberflaechentemperatur;54,00;0,075;multifunktionale_nutzungsqualitaet;26,0;58,4;0,8641975308641976;0,06481481481481481
Asphalt;Heller Asphalt;befahrbarkeit;5,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;1,0000000000000000;0,05000000000000000
Asphalt;Heller Asphalt;kosten;110,00;0,075;langlebigkeit_wirtschaftlichkeit;50,0;350,0;0,8000000000000000;0,06000000000000000
Asphalt;Heller Asphalt;unterhalt;4,00;0,075;langlebigkeit_wirtschaftlichkeit;2,0;9,0;0,7142857142857143;0,05357142857142857
Asphalt;Heller Asphalt;co2;50,00;0,180;umweltbelastung;17,5;72,5;0,4090909090909091;0,07363636363636362
Asphalt;Heller Asphalt;graueEnergie;331,00;0,120;umweltbelastung;70,0;375,0;0,1442622950819672;0,01731147540983606
Asphalt;Heller Asphalt;recyclingfaehigkeit;0,30;0,080;kreislauffaehigkeit;0,2;1,0;0,1250000000000000;0,01000000000000000
Asphalt;Heller Asphalt;lokaleMaterialien;0,60;0,060;kreislauffaehigkeit;0,4;1,0;0,3333333333333333;0,01999999999999999
Asphalt;Heller Asphalt;modulareErneuerbarkeit;1,00;0,060;kreislauffaehigkeit;1,0;5,0;0,0000000000000000;0,00000000000000000
Asphalt;Heller Asphalt;barrierefreiheit;5,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;1,0000000000000000;0,05000000000000000
Asphalt;Selbstheilender Asphalt;lebensdauer;42,50;0,100;langlebigkeit_wirtschaftlichkeit;15,0;50,0;0,7857142857142857;0,07857142857142857
Asphalt;Selbstheilender Asphalt;versickerung;1,00;0,075;multifunktionale_nutzungsqualitaet;0,2;1,0;1,0000000000000000;0,07500000000000000
Asphalt;Selbstheilender Asphalt;oberflaechentemperatur;58,40;0,075;multifunktionale_nutzungsqualitaet;26,0;58,4;1,0000000000000000;0,07500000000000000
Asphalt;Selbstheilender Asphalt;befahrbarkeit;5,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;1,0000000000000000;0,05000000000000000
Asphalt;Selbstheilender Asphalt;kosten;138,50;0,075;langlebigkeit_wirtschaftlichkeit;50,0;350,0;0,7050000000000001;0,05287500000000001
Asphalt;Selbstheilender Asphalt;unterhalt;2,00;0,075;langlebigkeit_wirtschaftlichkeit;2,0;9,0;1,0000000000000000;0,07500000000000000
Asphalt;Selbstheilender Asphalt;co2;72,50;0,180;umweltbelastung;17,5;72,5;0,0000000000000000;0,00000000000000000
Asphalt;Selbstheilender Asphalt;graueEnergie;375,00;0,120;umweltbelastung;70,0;375,0;0,0000000000000000;0,00000000000000000
Asphalt;Selbstheilender Asphalt;recyclingfaehigkeit;0,20;0,080;kreislauffaehigkeit;0,2;1,0;0,0000000000000000;0,00000000000000000
Asphalt;Selbstheilender Asphalt;lokaleMaterialien;0,50;0,060;kreislauffaehigkeit;0,4;1,0;0,1666666666666666;0,01000000000000000
Asphalt;Selbstheilender Asphalt;modulareErneuerbarkeit;1,00;0,060;kreislauffaehigkeit;1,0;5,0;0,0000000000000000;0,00000000000000000
