szenario;kategorie;komponente;lebensdauer;sanierungs_jahr;rang;theoretischer_bedarf;jahr_optimiert;wurde_verschoben;differenz
Szenario 2: Radikale Vermeidung;Sickerbeläge;Chaussierung;12,5;25,0;2;25,0;25,0;FALSE;0,0
Szenario 2: Radikale Vermeidung;Sickerbeläge;Chaussierung;12,5;37,5;2;37,5;45,0;TRUE;7,5
Szenario 2: Radikale Vermeidung;Sickerbeläge;Chaussierung;12,5;57,5;2;57,5;60,0;TRUE;2,5
Szenario 2: Radikale Vermeidung;Sickerbeläge;Chaussierung;12,5;72,5;2;72,5;80,0;TRUE;7,5
Szenario 2: Radikale Vermeidung;Sickerbeläge;Chaussierung;12,5;92,5;2;92,5;92,5;FALSE;0,0
Szenario 2: Radikale Vermeidung;Sickerbeläge;Chaussierung;12,5;105,0;2;105,0;105,0;FALSE;0,0
Szenario 2: Radikale Vermeidung;Sickerbeläge;Chaussierung;12,5;117,5;2;117,5;117,5;FALSE;0,0
Szenario 3: Radikaler Lebenszyklus;Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);35,0;35,0;3;35,0;45,0;TRUE;10,0
Szenario 3: Radikaler Lebenszyklus;Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);35,0;80,0;3;80,0;80,0;FALSE;0,0
Szenario 3: Radikaler Lebenszyklus;Asphalt;Selbstheilender Asphalt;42,5;42,5;2;42,5;45,0;TRUE;2,5
Szenario 3: Radikaler Lebenszyklus;Asphalt;Selbstheilender Asphalt;42,5;87,5;2;87,5;80,0;TRUE;-7,5
